127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.773815
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000337
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000590
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000270
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000287
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000249
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001542
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000318
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.001088
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.019425
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000584
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000405
127.0.0.1, 2014-03-08 10:48:21, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000408
127.0.0.1, 2014-03-08 10:48:22, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000383
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/default/index, HTTP/1.1, 200, 0.193889
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.029341
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.030839
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.045085
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.046854
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.045652
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.046021
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.001055
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000360
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000323
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.001241
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.000985
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000893
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000889
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000989
127.0.0.1, 2014-03-08 10:48:24, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.001061
127.0.0.1, 2014-03-08 10:48:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000455
127.0.0.1, 2014-03-08 10:48:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000814
